A+ Core 1,2023-08-05 10:15:00,Passed,03-08-2023
Google Cybersecurity Professional Certificate,2023-08-13 10:15:00,Passed,12-08-2023
A+ Core 2,2023-08-15 10:15:00,Passed,14-08-2023
Network +,2023-09-01 10:15:00,Passed,28-08-2024
Security +,2023-09-10 12:00:00,Pending,
Linux +,2023-09-30 12:00:00,Pending,
AWS Cloud Practitioner,2023-10-15 12:00:00,Pending,
AWS Solutions Architect Associate,2023-12-01 12:00:00,Pending,
AWS SysOps Administrator,2024-01-15 12:00:00,Pending,
AWS Developer,2024-03-01 12:00:00,Pending,
AWS Solutions Architect Professional,2024-04-15 12:00:00,Pending,
AWS Security,2024-06-01 12:00:00,Pending,
CISSP,2024-08-1 12:00:00,Pending,
